"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"06/01/2024 01:30 - 06/01/2024 02:00","Ireland (IE)","3648.82","4082.00"
"06/01/2024 02:00 - 06/01/2024 02:30","Ireland (IE)","3544.16","3965.00"
"06/01/2024 02:30 - 06/01/2024 03:00","Ireland (IE)","3452.28","3848.00"
"06/01/2024 03:00 - 06/01/2024 03:30","Ireland (IE)","3413.17","3815.00"
"06/01/2024 03:30 - 06/01/2024 04:00","Ireland (IE)","3384.96","3783.00"
"06/01/2024 04:00 - 06/01/2024 04:30","Ireland (IE)","3291.93","3746.00"
"06/01/2024 04:30 - 06/01/2024 05:00","Ireland (IE)","3261.54","3710.00"
"06/01/2024 05:00 - 06/01/2024 05:30","Ireland (IE)","3231.37","3691.00"
"06/01/2024 05:30 - 06/01/2024 06:00","Ireland (IE)","3195.13","3672.00"
"06/01/2024 06:00 - 06/01/2024 06:30","Ireland (IE)","3203.99","3708.00"
"06/01/2024 06:30 - 06/01/2024 07:00","Ireland (IE)","3223.99","3745.00"
"06/01/2024 07:00 - 06/01/2024 07:30","Ireland (IE)","3272.76","3811.00"
"06/01/2024 07:30 - 06/01/2024 08:00","Ireland (IE)","3357.17","3877.00"
"06/01/2024 08:00 - 06/01/2024 08:30","Ireland (IE)","3425.92","3978.00"
"06/01/2024 08:30 - 06/01/2024 09:00","Ireland (IE)","3530.88","4079.00"
"06/01/2024 09:00 - 06/01/2024 09:30","Ireland (IE)","3649.71","4151.00"
"06/01/2024 09:30 - 06/01/2024 10:00","Ireland (IE)","3736.81","4223.00"
"06/01/2024 10:00 - 06/01/2024 10:30","Ireland (IE)","3881.74","4318.00"
"06/01/2024 10:30 - 06/01/2024 11:00","Ireland (IE)","4041.26","4413.00"
"06/01/2024 11:00 - 06/01/2024 11:30","Ireland (IE)","4110.23","4481.00"
"06/01/2024 11:30 - 06/01/2024 12:00","Ireland (IE)","4179.73","4549.00"
"06/01/2024 12:00 - 06/01/2024 12:30","Ireland (IE)","4197.15","4574.00"
"06/01/2024 12:30 - 06/01/2024 13:00","Ireland (IE)","4207.28","4599.00"
"06/01/2024 13:00 - 06/01/2024 13:30","Ireland (IE)","4205.22","4608.00"
"06/01/2024 13:30 - 06/01/2024 14:00","Ireland (IE)","4200.94","4616.00"
"06/01/2024 14:00 - 06/01/2024 14:30","Ireland (IE)","4182.81","4603.00"
"06/01/2024 14:30 - 06/01/2024 15:00","Ireland (IE)","4151.88","4590.00"
"06/01/2024 15:00 - 06/01/2024 15:30","Ireland (IE)","4113.94","4575.00"
"06/01/2024 15:30 - 06/01/2024 16:00","Ireland (IE)","4089.09","4560.00"
"06/01/2024 16:00 - 06/01/2024 16:30","Ireland (IE)","4090.27","4591.00"
"06/01/2024 16:30 - 06/01/2024 17:00","Ireland (IE)","4129.88","4622.00"
"06/01/2024 17:00 - 06/01/2024 17:30","Ireland (IE)","4199.74","4760.00"
"06/01/2024 17:30 - 06/01/2024 18:00","Ireland (IE)","4352.44","4897.00"
"06/01/2024 18:00 - 06/01/2024 18:30","Ireland (IE)","4614.83","5047.00"
"06/01/2024 18:30 - 06/01/2024 19:00","Ireland (IE)","4784.59","5197.00"
